Symbol,Description,Quandlcode,premium_code
UA,Under Armour,WIKI/UA,EOD/UA
UNP,Union Pacific,WIKI/UNP,EOD/UNP
UAL,United Continental Holdings,WIKI/UAL,EOD/UAL
UNH,United Health Group Inc.,WIKI/UNH,EOD/UNH
UPS,United Parcel Service,WIKI/UPS,EOD/UPS
URI,United Rentals,WIKI/URI,EOD/URI
UTX,United Technologies,WIKI/UTX,EOD/UTX
UHS,Universal Health Services,WIKI/UHS,EOD/UHS
UNM,Unum Group,WIKI/UNM,EOD/UNM
URBN,Urban Outfitters,WIKI/URBN,EOD/URBN
VFC,V.F. Corp.,WIKI/VFC,EOD/VFC
VLO,Valero Energy,WIKI/VLO,EOD/VLO
VAR,Varian Medical Systems,WIKI/VAR,EOD/VAR
VTR,Ventas Inc,WIKI/VTR,EOD/VTR
VRSN,Verisign Inc.,WIKI/VRSN,EOD/VRSN
VRSK,Verisk Analytics,WIKI/VRSK,EOD/VRSK
VZ,Verizon Communications,WIKI/VZ,EOD/VZ
VRTX,Vertex Pharmaceuticals Inc,WIKI/VRTX,EOD/VRTX
VIAB,Viacom Inc.,WIKI/VIAB,EOD/VIAB
V,Visa Inc.,WIKI/V,EOD/V
VNO,Vornado Realty Trust,WIKI/VNO,EOD/VNO
VMC,Vulcan Materials,WIKI/VMC,EOD/VMC
WMT,Wal-Mart Stores,WIKI/WMT,EOD/WMT
WBA,Walgreens Boots Alliance,WIKI/WBA,EOD/WBA
DIS,The Walt Disney Company,WIKI/DIS,EOD/DIS
WM,Waste Management Inc.,WIKI/WM,EOD/WM
WAT,Waters Corporation,WIKI/WAT,EOD/WAT
ANTM,Anthem Inc.,WIKI/ANTM,EOD/ANTM
WFC,Wells Fargo,WIKI/WFC,EOD/WFC
HCN,Welltower Inc.,WIKI/HCN,EOD/HCN
WDC,Western Digital,WIKI/WDC,EOD/WDC
WU,Western Union Co,WIKI/WU,EOD/WU
WY,Weyerhaeuser Corp.,WIKI/WY,EOD/WY
WHR,Whirlpool Corp.,WIKI/WHR,EOD/WHR
WFM,Whole Foods Market,WIKI/WFM,EOD/WFM
WMB,Williams Cos.,WIKI/WMB,EOD/WMB
WEC,Wisconsin Energy Corporation,WIKI/WEC,EOD/WEC
WYN,Wyndham Worldwide,WIKI/WYN,EOD/WYN
WYNN,Wynn Resorts Ltd,WIKI/WYNN,EOD/WYNN
XEL,Xcel Energy Inc,WIKI/XEL,EOD/XEL
XRX,Xerox Corp.,WIKI/XRX,EOD/XRX
XLNX,Xilinx Inc,WIKI/XLNX,EOD/XLNX
XL,XL Capital,WIKI/XL,EOD/XL
XYL,Xylem Inc.,WIKI/XYL,EOD/XYL
YHOO,Yahoo Inc.,WIKI/YHOO,EOD/YHOO
YUM,Yum! Brands Inc,WIKI/YUM,EOD/YUM
ZBH,Zimmer Biomet Holdings,WIKI/ZBH,EOD/ZBH
ZION,Zions Bancorp,WIKI/ZION,EOD/ZION
ZTS,Zoetis,WIKI/ZTS,EOD/ZTS
USDOLLAR,Federal funds effective rate,FRED/DTB3,
